appointment_timestamp,us_time,live_count
1614787200000,2021-03-03 08:00:00.0000,14
1615104000000,2021-03-07 00:00:00.0000,14
1615161600000,2021-03-07 16:00:00.0000,14
1616040000000,2021-03-17 21:00:00.0000,14
1615982400000,2021-03-17 05:00:00.0000,14
1617012000000,2021-03-29 03:00:00.0000,14
1617084000000,2021-03-29 23:00:00.0000,14
1615989600000,2021-03-17 07:00:00.0000,14
1616205600000,2021-03-19 19:00:00.0000,14
1615240800000,2021-03-08 14:00:00.0000,14
1616083200000,2021-03-18 09:00:00.0000,14
1617163200000,2021-03-30 21:00:00.0000,14
1616414400000,2021-03-22 05:00:00.0000,13
1616493600000,2021-03-23 03:00:00.0000,13
1616940000000,2021-03-28 07:00:00.0000,13
1615226400000,2021-03-08 10:00:00.0000,13
1615615200000,2021-03-12 22:00:00.0000,13
1616752800000,2021-03-26 03:00:00.0000,13
1615003200000,2021-03-05 20:00:00.0000,13
1615932000000,2021-03-16 15:00:00.0000,13
1616508000000,2021-03-23 07:00:00.0000,13
1615125600000,2021-03-07 06:00:00.0000,13
1615816800000,2021-03-15 07:00:00.0000,13
1615939200000,2021-03-16 17:00:00.0000,13
1615701600000,2021-03-13 22:00:00.0000,13
1616018400000,2021-03-17 15:00:00.0000,13
1616666400000,2021-03-25 03:00:00.0000,13
1614880800000,2021-03-04 10:00:00.0000,13
1616673600000,2021-03-25 05:00:00.0000,12
1615600800000,2021-03-12 18:00:00.0000,12
1615219200000,2021-03-08 08:00:00.0000,12
1616428800000,2021-03-22 09:00:00.0000,12
1616630400000,2021-03-24 17:00:00.0000,12
1616688000000,2021-03-25 09:00:00.0000,12
1617249600000,2021-03-31 21:00:00.0000,12
1616076000000,2021-03-18 07:00:00.0000,12
1616198400000,2021-03-19 17:00:00.0000,12
1616572800000,2021-03-24 01:00:00.0000,12
1617141600000,2021-03-30 15:00:00.0000,12
1614801600000,2021-03-03 12:00:00.0000,12
1615550400000,2021-03-12 04:00:00.0000,12
